COD_INMUEBLE,NOM_SUCURSAL,NOM_BARRIO,NOM_CIUDAD,ESTRATO,TIPO_INMUEBLE,AREA,VLR_CANON,VLR_ADMINISTRACION,FECHA_CONSIGNACION,FECHA_RECONSIGNACION,FECHA_CONTRATO,COD_ESTADO_CONTRATO
1,BARRANCABERMEJA,EL PALMAR,BARRANCABERMEJA,CUATRO,APARTAMENTO,23,632600,167400,10092020,,12092020,VIGENTE
2,BARRANCABERMEJA,COLOMBIA,BARRANCABERMEJA,TRES,LOCAL,11,500000,0,11042018,,26112020,VIGENTE
3,BARRANCABERMEJA,COLOMBIA,BARRANCABERMEJA,TRES,APARTAMENTO,24,500000,0,11042018,,22062019,INACTIVO
4,BARRANCABERMEJA,COLOMBIA,BARRANCABERMEJA,TRES,LOCAL,20,515900,0,11042018,,18042018,INACTIVO
5,BARRANCABERMEJA,TORCOROMA,BARRANCABERMEJA,TRES,APARTAMENTO,33,729000,271000,22092020,,24102020,VIGENTE
6,BARRANCABERMEJA,COLOMBIA,BARRANCABERMEJA,CUATRO,CASA,23,520600,129400,21102020,,30102020,VIGENTE
7,BARRANCABERMEJA,LOS PINOS,BARRANCABERMEJA,CUATRO,LOCAL,27,650000,0,19062020,,30072020,INACTIVO
8,BARRANCABERMEJA,GALAN GOMEZ,BARRANCABERMEJA,CUATRO,CASA,97,780000,0,06122019,,21022020,INACTIVO
9,BARRANCABERMEJA,LA LIBERTAD,BARRANCABERMEJA,CUATRO,LOCAL,29,1100000,170000,07072020,,29092020,VIGENTE
10,BARRANCABERMEJA,PALMIRA,BARRANCABERMEJA,CUATRO,CASA,52,744000,156000,24012020,,30012020,VIGENTE
11,BARRANCABERMEJA,EL PALMAR,BARRANCABERMEJA,CUATRO,CASA,55,900000,307440,24062020,,10072020,VIGENTE
12,BARRANCABERMEJA,PALMIRA,BARRANCABERMEJA,CUATRO,CASA,31,900000,158000,23072020,,10092020,VIGENTE
13,BARRANCABERMEJA,LOS PINOS,BARRANCABERMEJA,CUATRO,LOCAL,14,600000,0,15122020,,22122020,VIGENTE
14,BARRANCABERMEJA,EL PALMAR,BARRANCABERMEJA,CUATRO,APARTAMENTO,79,1300000,329400,19112020,,15122020,VIGENTE
15,BARRANCABERMEJA,TORCOROMA,BARRANCABERMEJA,CUATRO,APARTAMENTO,87,721000,279000,09072020,,14092020,VIGENTE
16,BARRANCABERMEJA,GALAN,BARRANCABERMEJA,CUATRO,CASA,53,1000000,0,25112019,,17122020,VIGENTE
17,BARRANCABERMEJA,GALAN,BARRANCABERMEJA,CUATRO,CASA,63,986100,0,25112019,,26112019,INACTIVO
18,BARRANCABERMEJA,GALAN GOMEZ,BARRANCABERMEJA,CUATRO,APARTAMENTO,42,850000,0,22112019,,28082020,VIGENTE
19,BARRANCABERMEJA,GALAN GOMEZ,BARRANCABERMEJA,CUATRO,CASA,44,850000,0,22112019,,23112019,INACTIVO
20,BARRANCABERMEJA,GALAN,BARRANCABERMEJA,CUATRO,LOCAL,11,882300,0,25112019,,29112019,INACTIVO
21,BARRANCABERMEJA,LA LIBERTAD,BARRANCABERMEJA,TRES,CASA,82,1000000,0,06072020,,25072020,VIGENTE
22,BARRANCABERMEJA,TORCOROMA,BARRANCABERMEJA,CUATRO,APARTAMENTO,85,900000,192000,23072020,,31072020,VIGENTE
23,BARRANCABERMEJA,PALMIRA,BARRANCABERMEJA,CUATRO,APARTAMENTO,58,900000,158000,23072020,,30072020,VIGENTE
24,BARRANCABERMEJA,LOS PINOS,BARRANCABERMEJA,CUATRO,APARTAMENTO,91,726600,0,12022019,,23022019,VIGENTE
25,BARRANCABERMEJA,LA PENINSULA,BARRANCABERMEJA,DOS,CASA,74,516300,103700,09072020,,26082020,VIGENTE
26,BARRANCABERMEJA,LOS PINOS,BARRANCABERMEJA,CUATRO,CASA,86,900000,0,20092019,,29072020,VIGENTE
27,BARRANCABERMEJA,LOS PINOS,BARRANCABERMEJA,CUATRO,APARTAMENTO,46,1000000,0,20092019,,30122019,INACTIVO
28,BARRANCABERMEJA,VILLA ROSA,BARRANCABERMEJA,CUATRO,CASA,46,609484,190516,24022020,24022020,03102020,VIGENTE
29,BARRANCABERMEJA,PUEBLO NUEVO,BARRANCABERMEJA,TRES,APARTAMENTO,74,674700,0,19092019,,28092019,VIGENTE
